servicio,section_canonical,especialidad
DIVISION REUMATOLOGIA,ADMIN,ESPONDILITIS
DEPARTAMENTO DE ALIMENTACION Y DIETETICA,ADMIN,CIRUGIA BARIATRICA
DIVISION NUTRICION,ADMIN,OBESIDAD
DIVISION UROLOGIA,ADMIN,ENDOUROLOGÍA
DIVISION UNIDAD CORONARIA,ADMIN,PATOLOGIA QUIRURGICA
DIVISION CONSULTORIOS EXTERNOS - SECTOR A,ADMIN,REUMATOLOGIA
DEPARTAMENTO DIAGNOSTICO POR IMAGENES,ADMIN,DENSITOMETRIA OSEA
DIVISION DERMATOLOGIA,ADMIN,PSICODERMATOLOGIA Y PSIQUIATRIA
CENTRO DE DOLOR BENIGNO,WARD/FLOOR,HERIDA
DIVISION CONSULTORIOS EXTERNOS DE CIRUGIA,ADMIN,NUTRICION BARIATRICA
DIVISION HEMATOLOGIA,ADMIN,ONCOHEMATOLOGIA
DIVISION NEUROCIRUGIA,ADMIN,CIRUGIA VASCULAR
DIVISION GINECOLOGÍA,ADMIN,PATOLOGÍA BENIGNA
DIVISION CONSULTORIOS EXTERNOS - SECTOR B,ADMIN,NEUMONOLOGIA
DEPARTAMENTO DE MEDICINA (6º CATEDRA),ADMIN,
DIVISION NEUROLOGIA,ADMIN,CEFALEAS
DIVISION O.R.L.,ADMIN,RINOLOGIA
DEPARTAMENTO DE MEDICINA CRITICA,ADMIN,
DIVISION CIRUGIA VASCULAR,ADMIN,
DIVISION QUIROFANO DE ENDOUROLOGIA,OR/PROCEDURE,
DIVISION ORTOPEDIA Y TRAUMATOLOGIA,WARD/FLOOR,NEUROCIRUGIA
DIVISION AT.PRIMARIA Y AT.AMB.S MEN,ADMIN,
DEPARTAMENTO DE PATOLOGIA,ADMIN,PATOLOGIA GINECOLOGICA
CENTRO DEL DOLOR CUIDADOS PALIATIVOS,WARD/FLOOR,
DIVISION TERAPIA INTENSIVA,ICU/UTI,
DIVISION MEDICINA NUCLEAR,ADMIN,RADIOFARMACIA
DIVISION ENDOCRINOLOGIA,ADMIN,NEFROLOGIA
DIVISION OFTALMOLOGIA,ADMIN,CORNEA
DIVISION QUIROFANOS,ADMIN,
DIVISION URGENCIAS,ADMIN,PSQUIATRÍA
DIVISION NEUMONOLOGIA,ADMIN,NEUMONOLOGÍA
LABORATORIO DE HEMODINAMIA,OR/PROCEDURE,ENDOCRINOLOGIA
DIVISION CIRUGIA EXPERIMENTAL,ADMIN,
DIVISION CONSULTORIOS EXTERNOS - TRAUMATOLOGIA,WARD/FLOOR,TRAUMA
DIVISION CONSULTORIOS EXTERNOS - PEDIATRIA,ADMIN,NEFROLOGIA
DIVISION OSTEOPATIAS,ADMIN,OSTEOPATIAS
DEPARTAMENTO DE TOCOGINECOLOGIA,ADMIN,
DIVISION ONCOLOGIA,ADMIN,CLINICA
DIVISION CIRUGIA CARDIACA,ADMIN,MICOLOGIA
FACULTAD DE ODONTOLOGIA,ADMIN,
