id_servicio,servicio,alias_servicio,id_especialidad,especialidad,id_servicio
88.0,DIVISION REUMATOLOGIA,REUMATOLOGIA,301.0,ESPONDILITIS,88.0
18.0,DEPARTAMENTO DE ALIMENTACION Y DIETETICA,ALIMENTACION Y DIETETICA,623.0,CIRUGIA BARIATRICA,18.0
88.0,DIVISION REUMATOLOGIA,REUMATOLOGIA,307.0,LUPUS,88.0
79.0,DIVISION NUTRICION,NUTRICION,691.0,OBESIDAD,79.0
93.0,DIVISION UROLOGIA,nan,213.0,ENDOUROLOGÍA,93.0
91.0,DIVISION UNIDAD CORONARIA,nan,480.0,PATOLOGIA QUIRURGICA,29.0
64.0,DIVISION CONSULTORIOS EXTERNOS - SECTOR A,CONSULTORIOS EXTERNOS,61.0,REUMATOLOGIA,64.0
88.0,DIVISION REUMATOLOGIA,REUMATOLOGIA,,nan,
34.0,DEPARTAMENTO DIAGNOSTICO POR IMAGENES,DIAGNOSTICO POR IMAGENES,131.0,DENSITOMETRIA OSEA,64.0
64.0,DIVISION CONSULTORIOS EXTERNOS - SECTOR A,CONSULTORIOS EXTERNOS,119.0,PEDIATRICA-ENDOCRINOLOGIA,64.0
65.0,DIVISION DERMATOLOGIA,CONSULTORIOS EXTERNOS - DERMATOLOGIA,312.0,PSICODERMATOLOGIA Y PSIQUIATRIA,65.0
973.0,CENTRO DE DOLOR BENIGNO,nan,,nan,
64.0,DIVISION CONSULTORIOS EXTERNOS - SECTOR A,CONSULTORIOS EXTERNOS,122.0,OSTEOPATIAS - ENDOCRINOLOGIA,64.0
937.0,DIVISION CONSULTORIOS EXTERNOS DE CIRUGIA,CONSULTORIOS EXTERNOS - CIRUGIA,144.0,NUTRICION BARIATRICA,937.0
65.0,DIVISION DERMATOLOGIA,CONSULTORIOS EXTERNOS - DERMATOLOGIA,315.0,PRACTICAS DERMATOLOGICAS,65.0
937.0,DIVISION CONSULTORIOS EXTERNOS DE CIRUGIA,CONSULTORIOS EXTERNOS - CIRUGIA,565.0,CIRUGÍA DE CABEZA Y CUELLO,937.0
71.0,DIVISION HEMATOLOGIA,nan,,nan,
77.0,DIVISION NEUROCIRUGIA,nan,711.0,CIRUGIA VASCULAR,77.0
953.0,DIVISION GINECOLOGÍA,GINECOLOGIA,433.0,PATOLOGÍA BENIGNA,953.0
927.0,DIVISION CONSULTORIOS EXTERNOS - SECTOR B,CONSULTORIOS EXTERNOS,24.0,NEUMONOLOGIA,927.0
65.0,DIVISION DERMATOLOGIA,CONSULTORIOS EXTERNOS - DERMATOLOGIA,654.0,HIDRADINITIS,65.0
27.0,DEPARTAMENTO DE MEDICINA (6º CATEDRA),nan,,nan,
65.0,DIVISION DERMATOLOGIA,CONSULTORIOS EXTERNOS - DERMATOLOGIA,660.0,UÑAS,65.0
77.0,DIVISION NEUROCIRUGIA,nan,,nan,
65.0,DIVISION DERMATOLOGIA,CONSULTORIOS EXTERNOS - DERMATOLOGIA,657.0,AMPOLLARES,65.0
937.0,DIVISION CONSULTORIOS EXTERNOS DE CIRUGIA,CONSULTORIOS EXTERNOS - CIRUGIA,547.0,CIRUGIA PLASTICA,19.0
78.0,DIVISION NEUROLOGIA,NEUROLOGIA,,nan,
80.0,DIVISION O.R.L.,OTORRINOLARINGOLOGIA,227.0,RINOLOGIA,80.0
28.0,DEPARTAMENTO DE MEDICINA CRITICA,nan,,nan,
64.0,DIVISION CONSULTORIOS EXTERNOS - SECTOR A,CONSULTORIOS EXTERNOS,,nan,
80.0,DIVISION O.R.L.,OTORRINOLARINGOLOGIA,230.0,CONSULTORIOS EXTERNOS/GUARDIA,80.0
80.0,DIVISION O.R.L.,OTORRINOLARINGOLOGIA,285.0,FONOAUDIOLOGIA,80.0
63.0,DIVISION CIRUGIA VASCULAR,nan,,nan,
88.0,DIVISION REUMATOLOGIA,REUMATOLOGIA,306.0,ESCLERODERMIA,88.0
899.0,DIVISION QUIROFANO DE ENDOUROLOGIA,nan,,nan,
64.0,DIVISION CONSULTORIOS EXTERNOS - SECTOR A,CONSULTORIOS EXTERNOS,11.0,NUTRICION,64.0
84.0,DIVISION ORTOPEDIA Y TRAUMATOLOGIA,nan,93.0,NEUROCIRUGIA,64.0
53.0,DIVISION AT.PRIMARIA Y AT.AMB.S MEN,nan,,nan,
29.0,DEPARTAMENTO DE PATOLOGIA,nan,479.0,PATOLOGIA GINECOLOGICA,29.0
77.0,DIVISION NEUROCIRUGIA,nan,425.0,SECTOR DOCENTE,77.0
93.0,DIVISION UROLOGIA,nan,287.0,ECOGRAFIA Y BIOPSIA,93.0
889.0,CENTRO DEL DOLOR CUIDADOS PALIATIVOS,nan,,nan,
89.0,DIVISION TERAPIA INTENSIVA,nan,,nan,
883.0,DIVISION MEDICINA NUCLEAR,nan,135.0,RADIOFARMACIA,883.0
77.0,DIVISION NEUROCIRUGIA,nan,480.0,PATOLOGIA QUIRURGICA,29.0
67.0,DIVISION ENDOCRINOLOGIA,ENDOCRINOLOGIA,96.0,NEFROLOGIA,74.0
67.0,DIVISION ENDOCRINOLOGIA,ENDOCRINOLOGIA,99.0,NEUROLOGIA INFANTIL,31.0
82.0,DIVISION OFTALMOLOGIA,OFTALMOLOGIA,32.0,CORNEA,82.0
64.0,DIVISION CONSULTORIOS EXTERNOS - SECTOR A,CONSULTORIOS EXTERNOS,257.0,INFORMATICA,906.0
65.0,DIVISION DERMATOLOGIA,CONSULTORIOS EXTERNOS - DERMATOLOGIA,659.0,TRICOLOGIA,65.0
87.0,DIVISION QUIROFANOS,nan,,nan,
65.0,DIVISION DERMATOLOGIA,CONSULTORIOS EXTERNOS - DERMATOLOGIA,662.0,ROSACEA,65.0
82.0,DIVISION OFTALMOLOGIA,OFTALMOLOGIA,93.0,NEUROCIRUGIA,64.0
77.0,DIVISION NEUROCIRUGIA,nan,602.0,MEDICINA PALIATIVA,77.0
92.0,DIVISION URGENCIAS,nan,715.0,PSQUIATRÍA,92.0
76.0,DIVISION NEUMONOLOGIA,nan,481.0,NEUMONOLOGÍA,76.0
901.0,LABORATORIO DE HEMODINAMIA,nan,,nan,
58.0,DIVISION CIRUGIA EXPERIMENTAL,nan,,nan,
929.0,DIVISION CONSULTORIOS EXTERNOS - TRAUMATOLOGIA,TRAUMATOLOGIA,196.0,TRAUMA,929.0
77.0,DIVISION NEUROCIRUGIA,nan,723.0,DEMANDA ESPONTANEA,77.0
76.0,DIVISION NEUMONOLOGIA,nan,,nan,
80.0,DIVISION O.R.L.,OTORRINOLARINGOLOGIA,435.0,FERTILIDAD ASISTIDA,953.0
31.0,DIVISION CONSULTORIOS EXTERNOS - PEDIATRIA,nan,96.0,NEFROLOGIA,74.0
973.0,CENTRO DE DOLOR BENIGNO,nan,679.0,HERIDA,973.0
901.0,LABORATORIO DE HEMODINAMIA,nan,60.0,ENDOCRINOLOGIA,64.0
964.0,DIVISION OSTEOPATIAS,nan,474.0,OSTEOPATIAS,964.0
31.0,DIVISION CONSULTORIOS EXTERNOS - PEDIATRIA,nan,99.0,NEUROLOGIA INFANTIL,31.0
33.0,DEPARTAMENTO DE TOCOGINECOLOGIA,nan,,nan,
83.0,DIVISION ONCOLOGIA,nan,,nan,
18.0,DEPARTAMENTO DE ALIMENTACION Y DIETETICA,ALIMENTACION Y DIETETICA,617.0,FERTILIDAD,18.0
57.0,DIVISION CIRUGIA CARDIACA,nan,169.0,MICOLOGIA,72.0
93.0,DIVISION UROLOGIA,nan,18.0,CURACIONES,93.0
986.0,FACULTAD DE ODONTOLOGIA,nan,,nan,
953.0,DIVISION GINECOLOGÍA,GINECOLOGIA,296.0,PATOLOGIA CERVICAL,953.0
93.0,DIVISION UROLOGIA,nan,15.0,ONCOLOGIA,93.0
,nan,nan,1.0,CONSULTORIOS EXTERNOS,67.0
84.0,DIVISION ORTOPEDIA Y TRAUMATOLOGIA,nan,,nan,
82.0,DIVISION OFTALMOLOGIA,OFTALMOLOGIA,214.0,MEDICINA INTERNA,0.0
50.0,DIVISION ALERGIA E INMUNOLOGIA,ALERGIA E INMUNOLOGIA,,nan,
65.0,DIVISION DERMATOLOGIA,CONSULTORIOS EXTERNOS - DERMATOLOGIA,65.0,INFECTOLOGIA,64.0
64.0,DIVISION CONSULTORIOS EXTERNOS - SECTOR A,CONSULTORIOS EXTERNOS,70.0,ENDO-ADOLECENCIA,64.0
22.0,DEPARTAMENTO DE HEMOTERAPIA,nan,406.0,HEMOTERÁPIA,22.0
84.0,DIVISION ORTOPEDIA Y TRAUMATOLOGIA,nan,60.0,ENDOCRINOLOGIA,64.0
72.0,DIVISION INFECTOLOGIA,INFECTOLOGÍA,332.0,GENERAL,72.0
71.0,DIVISION HEMATOLOGIA,nan,408.0,ONCOHEMATOLOGIA,71.0
75.0,DIVISION NEONATOLOGIA,nan,,nan,
80.0,DIVISION O.R.L.,OTORRINOLARINGOLOGIA,228.0,LARINGE,80.0
72.0,DIVISION INFECTOLOGIA,INFECTOLOGÍA,,nan,
70.0,DIVISION CONSULTORIOS EXTERNOS - GINECOLOGIA,GINECOLOGIA,,nan,
19.0,DEPARTAMENTO DE CIRUGIA,nan,,nan,
953.0,DIVISION GINECOLOGÍA,GINECOLOGIA,449.0,ONCOLOGÍA GINECOLÓGICA,953.0
56.0,DIVISION CARDIOLOGIA,nan,384.0,ERGOMETRÍA,56.0
18.0,DEPARTAMENTO DE ALIMENTACION Y DIETETICA,ALIMENTACION Y DIETETICA,610.0,LICENCIADO/A EN NUTRICION,18.0
18.0,DEPARTAMENTO DE ALIMENTACION Y DIETETICA,ALIMENTACION Y DIETETICA,613.0,CARDIOLOGIA,18.0
929.0,DIVISION CONSULTORIOS EXTERNOS - TRAUMATOLOGIA,TRAUMATOLOGIA,197.0,MIEMBRO SUPERIOR-MANO-MUÑECA-CODO-HOMBRO,929.0
32.0,DEPARTAMENTO DE SALUD MENTAL,nan,132.0,URGENCIAS PSIQUIATRICAS,32.0
937.0,DIVISION CONSULTORIOS EXTERNOS DE CIRUGIA,CONSULTORIOS EXTERNOS - CIRUGIA,44.0,CIRUGIA DE GASTRO,937.0
